run_name,mean_voltage_difference_integral_vs,std_voltage_difference_integral_vs,min_voltage_difference_integral_vs,max_voltage_difference_integral_vs,valid_trial_count,trial_indices_used,trial_integrals_vs,st_1_frequency_name,st_1_frequency_hz,st_2_frequency_name,st_2_frequency_hz,st_3_frequency_name,st_3_frequency_hz,st_4_frequency_name,st_4_frequency_hz,frequency_st1_hz,frequency_st2_hz,frequency_st3_hz
st1_1_hz__st2_1_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,1_hz,1,1_hz,1,1,1,1
st1_1_hz__st2_1_hz__st3_31_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,31_hz,31,1_hz,1,1,1,31
st1_1_hz__st2_1_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,61_hz,61,1_hz,1,1,1,61
st1_1_hz__st2_1_hz__st3_91_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,91_hz,91,1_hz,1,1,1,91
st1_1_hz__st2_1_hz__st3_121_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,121_hz,121,1_hz,1,1,1,121
st1_1_hz__st2_1_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,151_hz,151,1_hz,1,1,1,151
st1_1_hz__st2_1_hz__st3_181_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,181_hz,181,1_hz,1,1,1,181
st1_1_hz__st2_1_hz__st3_211_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,211_hz,211,1_hz,1,1,1,211
st1_1_hz__st2_1_hz__st3_241_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,241_hz,241,1_hz,1,1,1,241
st1_1_hz__st2_1_hz__st3_271_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,271_hz,271,1_hz,1,1,1,271
