frequency_st_y_hz,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,1.5968243699815422e-07,0.0,0.0,6.360710517001183e-07,0.0,0.0,5.56533612000032e-07,0.0,4.2099615000124046e-07,0.0,4.1415007499934217e-07,0.0,5.4286487999877244e-08,1.1961978570011745e-06,0.0,2.305393512302481e-06,0.0,7.322808870005582e-07,1.367066610014067e-07,7.040716380038448e-07,1.3153183829980874e-06,6.199009757999751e-07,0.0,0.0,1.139408598602714e-06,0.0,0.0,6.140156849965273e-07,7.274180609986858e-07,1.3282078769977225e-06,1.2519830160008515e-06,5.255871029996584e-07,0.0
33,0.0,0.0,0.0,0.0,3.419391996001275e-07,0.0,0.0,0.0,7.307396072998157e-07,8.675916389998262e-07,8.808430949985847e-07,4.3230078000083824e-07,0.0,1.0344895469974192e-06,7.598353229984478e-07,0.0,8.008062839996548e-08,5.739551100017448e-07,1.5352221960021616e-06,4.85909630999204e-07,1.509340558497746e-06,0.0,6.405617339998864e-07,8.366903010001426e-07,6.927986456998354e-07,1.8842947110031538e-06,6.41929221001647e-07,0.0,2.2088366576993733e-06,1.9414845990009534e-06,1.0336512419995004e-06,1.6007152050019628e-06,2.822892479996258e-06,1.7243642880032664e-06,3.867017859000982e-06,5.86429064998173e-07,1.7659732806034334e-06,1.8608872004995114e-06
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6548787709980141e-06,1.2906197100037708e-07,1.7460410400016446e-07,0.0,1.2820036770017083e-06,2.1336629967008e-06,3.118119119979723e-07,8.483101802110854e-07,3.2639971275035156e-06,2.3032907099908297e-07,8.699962869000015e-07,8.547090209999609e-07,1.066791887999463e-06,3.3490778400036e-07,1.0590723090034283e-06,4.969820772003017e-06,3.2520097079938306e-06,2.343124407599359e-06,1.3099459581000088e-06,2.9913759899985463e-06,1.5796589607022446e-06,1.941326999998355e-06,4.019667559196847e-06,2.0574446147993143e-06,3.836887077605915e-06,2.1136462793996253e-06,2.6324640261000256e-06,3.196071167393295e-06,2.939262508798169e-06
65,0.0,0.0,4.969625904000658e-07,0.0,5.974989659990326e-07,0.0,0.0,1.2236519249989031e-06,1.2038943077984783e-06,3.2348179799988887e-07,2.664682235099768e-06,7.880486849988489e-07,1.0933560720007008e-06,2.0778740036986322e-06,6.67400490000636e-07,1.721231782197269e-06,3.86217450000087e-07,1.2540320189968757e-06,1.730452669197e-06,1.7561705940022377e-06,1.912993658999343e-06,1.9321212212985477e-06,3.0980261862016694e-06,2.17081243800335e-06,3.0416424209980114e-06,4.52112359849894e-06,2.337414786901873e-06,1.4868089370004278e-06,1.0240597349983616e-06,2.998824596997865e-06,2.575985985003027e-06,8.826233580006004e-07,2.0270241629979924e-06,3.3253142399945758e-06,3.5581451399976234e-06,3.653359070395455e-06,1.2561402870182868e-07,2.4119522280018066e-06
81,0.0,0.0,5.570654580022706e-07,4.2256105199922623e-07,1.5938251199831832e-07,1.1280876749980572e-06,1.9378805399872243e-07,2.0251658861980548e-06,8.686245509982593e-07,0.0,8.95601105999344e-07,1.3979600999303178e-08,5.264770230010984e-07,1.5797337686995412e-06,9.020155680034004e-07,8.500716504005607e-07,4.580027190054237e-07,1.7204876747965725e-06,3.553085906097681e-06,2.6873202599989563e-06,2.515369869002665e-06,3.5903466720016425e-06,1.551065507994498e-06,9.007849097980579e-07,4.814170472700157e-06,2.343950215195414e-06,2.10293057339897e-06,3.955197851999714e-06,5.715125084702067e-06,2.6199123731986127e-06,3.5090350721964786e-06,4.349271798897853e-06,5.625480128226439e-06,3.2519219669033437e-06,1.1190128040083904e-06,3.442037391359239e-06,4.683160018801002e-06,5.377940419500002e-06
97,0.0,0.0,0.0,0.0,0.0,3.2332870800108605e-07,0.0,1.5308114940010275e-06,1.2855452399995748e-06,9.405291779995829e-07,3.6051123896998702e-06,1.6846286399987975e-06,6.304508009996602e-07,1.6249739328041273e-06,2.635130532593136e-06,1.3553611199867978e-07,0.0,1.661228186398342e-06,2.0544753837584313e-06,3.8798995463988455e-06,3.858997832100891e-06,1.7284832009951954e-06,3.984801545696137e-06,1.0659588120037756e-06,5.382957041989919e-06,3.271021724699473e-06,4.410734240703901e-06,3.4456799916003645e-06,4.34475874259356e-06,4.657469782504281e-06,3.777560391597552e-06,4.611661383608599e-06,6.5532997719028835e-06,3.7052714340035654e-06,2.393041383899897e-06,4.601235983214041e-06,5.743645579803294e-06,3.4859737440019048e-06
113,0.0,5.718304979991651e-07,4.651673112000993e-07,5.426471789965471e-07,5.164365329998061e-07,8.576654084997693e-07,6.896858759997126e-07,7.829705880021965e-07,1.9759620600245944e-07,1.7454696354037881e-06,8.054068778987761e-07,2.031626484001667e-06,2.0219872230003987e-06,2.133819762299427e-06,1.5348208842008716e-06,9.493039431028584e-07,3.0348970379914796e-07,1.1417607017997699e-06,3.7015331975981396e-06,3.494041917119946e-06,8.644037931013204e-07,5.025428490774714e-06,5.449567882502855e-06,3.71621299850458e-06,3.0165762150015372e-06,2.7879535602037643e-06,4.155911073894913e-06,4.630025895297762e-06,8.619680267990437e-06,5.202516247209063e-06,6.602608273055107e-06,8.004219146101507e-06,7.386001018202249e-06,3.422385776700246e-06,4.497127069310338e-06,5.1705195813085e-06,8.371571858105804e-06,5.393028041094424e-06
129,0.0,1.0690065360019484e-06,1.2184616520000136e-06,1.699832510997229e-06,1.0681718597999653e-06,5.825707272001657e-07,9.641398499971033e-07,1.3038227190036165e-06,3.056942393994678e-06,1.810272438900057e-06,7.672074749998093e-07,1.143947061001266e-06,1.8287886393001871e-06,3.2100809714980843e-06,2.71340872290346e-06,3.4991924786943742e-06,1.444077385198417e-06,1.580090211003027e-06,3.1781994789621552e-06,3.1423687560026838e-06,4.573299757046926e-06,2.315535916501167e-06,1.9015977501028044e-06,2.9908205730006833e-06,4.649417653508365e-06,4.7166252696040005e-06,5.7225617748034485e-06,3.431314799991619e-06,2.5779890970055454e-06,6.304940612102145e-06,6.813717336360288e-06,7.089640554597622e-06,3.204978879604386e-06,6.30200755512126e-06,6.184941022701327e-06,5.501270603613501e-06,8.241344699414406e-06,6.461907257692136e-06
145,0.0,0.0,6.002311769989776e-07,2.6069951699903003e-07,1.2014811737980427e-06,0.0,7.27512921001039e-07,1.4414117634001245e-06,2.7249536429933832e-06,1.8337678199994988e-06,2.3183817363019164e-06,2.3644902834013894e-06,3.6867082104021646e-06,2.8903238330789935e-06,8.176793400022087e-07,2.90419743149686e-06,4.775921650803233e-06,5.499809759706136e-06,3.716224030798233e-06,3.3693837722992282e-06,6.786999677702786e-06,4.603414474808678e-06,3.131009586896417e-06,3.714299442004744e-06,6.683437871108089e-06,6.512940002702285e-06,8.625237158701727e-06,6.790374307528044e-06,6.086379458697822e-06,5.4172784312961354e-06,1.145679134219712e-05,6.5061651329987634e-06,3.5785925900957274e-06,2.7434958633031777e-06,7.063713486895554e-06,7.004929651205326e-06,3.6148869324027607e-06,4.46173402139996e-06
