bias_a,bias_a_label,bias_a_voltage,bias_b,bias_b_label,bias_b_voltage,tolerance_fraction,tolerance_percent,threshold_ratio,max_us,tau_us,y_inf,amplitude,isi_us,status
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0,0,1,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.1,10,1.1,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.2,20,1.2,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.3,30,1.3,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.4,40,1.4,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.5,50,1.5,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.6,60,1.6,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.7,70,1.7,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.8,80,1.8,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,0.9,90,1.9,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_0p7,0.7,1,100,2,500,25.9112374809,1.00279411024,-0.0175972617533,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0,0,1,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.1,10,1.1,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.2,20,1.2,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.3,30,1.3,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.4,40,1.4,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.5,50,1.5,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.6,60,1.6,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.7,70,1.7,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.8,80,1.8,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,0.9,90,1.9,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_0p7,0.7,1,100,2,500,26.3422107302,1.00401247519,-0.019101714252,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0,0,1,500,7.42843028647,1.01479192962,-0.0108325450431,,not_crossed_by_max_us
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.1,10,1.1,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.2,20,1.2,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.3,30,1.3,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.4,40,1.4,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.5,50,1.5,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.6,60,1.6,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.7,70,1.7,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.8,80,1.8,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,0.9,90,1.9,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_0p7,0.7,1,100,2,500,7.42843028647,1.01479192962,-0.0108325450431,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0,0,1,500,5.83230878102,1.05508884532,0.309497424806,,not_crossed_by_max_us
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.1,10,1.1,500,5.83230878102,1.05508884532,0.309497424806,11.2578931919,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.2,20,1.2,500,5.83230878102,1.05508884532,0.309497424806,4.42572470953,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.3,30,1.3,500,5.83230878102,1.05508884532,0.309497424806,1.36507672045,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.4,40,1.4,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.5,50,1.5,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.6,60,1.6,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.7,70,1.7,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.8,80,1.8,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,0.9,90,1.9,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p2,1.2,1,100,2,500,5.83230878102,1.05508884532,0.309497424806,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0,0,1,500,2.60158856126,1.07288398029,0.751728202818,,not_crossed_by_max_us
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.1,10,1.1,500,2.60158856126,1.07288398029,0.751728202818,8.64312796131,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.2,20,1.2,500,2.60158856126,1.07288398029,0.751728202818,4.62373731054,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.3,30,1.3,500,2.60158856126,1.07288398029,0.751728202818,3.11387735298,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.4,40,1.4,500,2.60158856126,1.07288398029,0.751728202818,2.16467756467,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.5,50,1.5,500,2.60158856126,1.07288398029,0.751728202818,1.47072781056,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.6,60,1.6,500,2.60158856126,1.07288398029,0.751728202818,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.7,70,1.7,500,2.60158856126,1.07288398029,0.751728202818,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.8,80,1.8,500,2.60158856126,1.07288398029,0.751728202818,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,0.9,90,1.9,500,2.60158856126,1.07288398029,0.751728202818,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p2,1.2,1,100,2,500,2.60158856126,1.07288398029,0.751728202818,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0,0,1,500,8.30536858478,1.08564662216,0.849460844422,,not_crossed_by_max_us
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.1,10,1.1,500,8.30536858478,1.08564662216,0.849460844422,33.8910244485,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.2,20,1.2,500,8.30536858478,1.08564662216,0.849460844422,16.654825289,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.3,30,1.3,500,8.30536858478,1.08564662216,0.849460844422,11.4362923496,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.4,40,1.4,500,8.30536858478,1.08564662216,0.849460844422,8.2562347494,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.5,50,1.5,500,8.30536858478,1.08564662216,0.849460844422,5.96228015964,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.6,60,1.6,500,8.30536858478,1.08564662216,0.849460844422,4.16673126858,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.7,70,1.7,500,8.30536858478,1.08564662216,0.849460844422,2.69120146434,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.8,80,1.8,500,8.30536858478,1.08564662216,0.849460844422,1.43868983801,crossed
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,0.9,90,1.9,500,8.30536858478,1.08564662216,0.849460844422,1,already_below_threshold
vtau,vtau_1p7,1.7,vthr,vthr_1p2,1.2,1,100,2,500,8.30536858478,1.08564662216,0.849460844422,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0,0,1,500,1.88388293523,1.11613209053,0.87293013363,,not_crossed_by_max_us
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.1,10,1.1,500,1.88388293523,1.11613209053,0.87293013363,,not_crossed_by_max_us
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.2,20,1.2,500,1.88388293523,1.11613209053,0.87293013363,4.41320765161,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.3,30,1.3,500,1.88388293523,1.11613209053,0.87293013363,2.9344074703,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.4,40,1.4,500,1.88388293523,1.11613209053,0.87293013363,2.11625330166,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.5,50,1.5,500,1.88388293523,1.11613209053,0.87293013363,1.54771724047,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.6,60,1.6,500,1.88388293523,1.11613209053,0.87293013363,1.11157300745,crossed
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.7,70,1.7,500,1.88388293523,1.11613209053,0.87293013363,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.8,80,1.8,500,1.88388293523,1.11613209053,0.87293013363,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,0.9,90,1.9,500,1.88388293523,1.11613209053,0.87293013363,1,already_below_threshold
vtau,vtau_0p7,0.7,vthr,vthr_1p7,1.7,1,100,2,500,1.88388293523,1.11613209053,0.87293013363,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0,0,1,500,2.0388235689,1.0676731119,0.913923506803,,not_crossed_by_max_us
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.1,10,1.1,500,2.0388235689,1.0676731119,0.913923506803,6.81343753759,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.2,20,1.2,500,2.0388235689,1.0676731119,0.913923506803,3.93996862613,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.3,30,1.3,500,2.0388235689,1.0676731119,0.913923506803,2.79237581206,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.4,40,1.4,500,2.0388235689,1.0676731119,0.913923506803,2.06253058151,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.5,50,1.5,500,2.0388235689,1.0676731119,0.913923506803,1.52619174028,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.6,60,1.6,500,2.0388235689,1.0676731119,0.913923506803,1.10196196762,crossed
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.7,70,1.7,500,2.0388235689,1.0676731119,0.913923506803,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.8,80,1.8,500,2.0388235689,1.0676731119,0.913923506803,1,already_below_threshold
vtau,vtau_1p2,1.2,vthr,vthr_1p7,1.7,0.9,90,1.9,500,2.0388235689,1.0676731119,0.913923506803,1,already_below_threshold
