prior_s,vpre_0_frequency_hz,vpre_1_frequency_hz,gap_less_than_prior
2.500000000000e-05,0,0,0
1.000000000000e-05,0,0,0
5.000000000000e-06,0,0,0
3.000000000000e-06,0,0,0
2.000000000000e-06,0,0,0
2.500000000000e-05,0,20,0
1.000000000000e-05,0,20,0
5.000000000000e-06,0,20,0
3.000000000000e-06,0,20,0
2.000000000000e-06,0,20,0
2.500000000000e-05,0,40,1
1.000000000000e-05,0,40,0
5.000000000000e-06,0,40,0
3.000000000000e-06,0,40,0
2.000000000000e-06,0,40,0
2.500000000000e-05,0,60,1
1.000000000000e-05,0,60,1
5.000000000000e-06,0,60,0
3.000000000000e-06,0,60,0
2.000000000000e-06,0,60,0
2.500000000000e-05,0,80,1
1.000000000000e-05,0,80,1
5.000000000000e-06,0,80,0
3.000000000000e-06,0,80,0
2.000000000000e-06,0,80,0
2.500000000000e-05,0,100,1
1.000000000000e-05,0,100,1
5.000000000000e-06,0,100,1
3.000000000000e-06,0,100,0
2.000000000000e-06,0,100,0
2.500000000000e-05,0,120,1
1.000000000000e-05,0,120,1
5.000000000000e-06,0,120,1
3.000000000000e-06,0,120,0
2.000000000000e-06,0,120,0
2.500000000000e-05,0,140,1
1.000000000000e-05,0,140,1
5.000000000000e-06,0,140,1
3.000000000000e-06,0,140,1
2.000000000000e-06,0,140,0
2.500000000000e-05,0,160,1
1.000000000000e-05,0,160,1
5.000000000000e-06,0,160,1
3.000000000000e-06,0,160,1
2.000000000000e-06,0,160,0
2.500000000000e-05,0,180,1
1.000000000000e-05,0,180,1
5.000000000000e-06,0,180,1
3.000000000000e-06,0,180,1
2.000000000000e-06,0,180,1
2.500000000000e-05,0,200,1
1.000000000000e-05,0,200,1
5.000000000000e-06,0,200,1
3.000000000000e-06,0,200,1
2.000000000000e-06,0,200,1
2.500000000000e-05,0,220,1
1.000000000000e-05,0,220,1
5.000000000000e-06,0,220,1
3.000000000000e-06,0,220,1
2.000000000000e-06,0,220,1
2.500000000000e-05,0,240,1
1.000000000000e-05,0,240,1
5.000000000000e-06,0,240,1
3.000000000000e-06,0,240,1
2.000000000000e-06,0,240,1
2.500000000000e-05,0,260,1
1.000000000000e-05,0,260,1
5.000000000000e-06,0,260,1
3.000000000000e-06,0,260,1
2.000000000000e-06,0,260,1
2.500000000000e-05,0,280,1
1.000000000000e-05,0,280,1
5.000000000000e-06,0,280,1
3.000000000000e-06,0,280,1
2.000000000000e-06,0,280,1
2.500000000000e-05,0,300,1
1.000000000000e-05,0,300,1
5.000000000000e-06,0,300,1
3.000000000000e-06,0,300,1
2.000000000000e-06,0,300,1
2.500000000000e-05,0,320,1
1.000000000000e-05,0,320,1
5.000000000000e-06,0,320,1
3.000000000000e-06,0,320,1
2.000000000000e-06,0,320,1
2.500000000000e-05,0,340,1
1.000000000000e-05,0,340,1
5.000000000000e-06,0,340,1
3.000000000000e-06,0,340,1
2.000000000000e-06,0,340,1
2.500000000000e-05,0,360,1
1.000000000000e-05,0,360,1
5.000000000000e-06,0,360,1
3.000000000000e-06,0,360,1
2.000000000000e-06,0,360,1
2.500000000000e-05,0,380,1
1.000000000000e-05,0,380,1
5.000000000000e-06,0,380,1
3.000000000000e-06,0,380,1
2.000000000000e-06,0,380,1
2.500000000000e-05,0,400,1
1.000000000000e-05,0,400,1
5.000000000000e-06,0,400,1
3.000000000000e-06,0,400,1
2.000000000000e-06,0,400,1
2.500000000000e-05,0,420,1
1.000000000000e-05,0,420,1
5.000000000000e-06,0,420,1
3.000000000000e-06,0,420,1
2.000000000000e-06,0,420,1
2.500000000000e-05,0,440,1
1.000000000000e-05,0,440,1
5.000000000000e-06,0,440,1
3.000000000000e-06,0,440,1
2.000000000000e-06,0,440,1
2.500000000000e-05,0,460,1
1.000000000000e-05,0,460,1
5.000000000000e-06,0,460,1
3.000000000000e-06,0,460,1
2.000000000000e-06,0,460,1
2.500000000000e-05,0,480,1
1.000000000000e-05,0,480,1
