time_s,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.0,-1.3657149799999999e-05,0.0,0.0
0.001,-1.36571499e-05,0.0,0.0
0.003,-1.36571499e-05,0.0,0.0
0.007,-1.36571499e-05,0.0,0.0
0.0109578548,-1.36571499e-05,0.0,0.0
0.0109578548,-1.36571499e-05,0.015008333300000001,0.015008333300000001
0.010957855,-1.36571499e-05,0.0450249999,0.0450249999
0.010957855300000001,-1.36571499e-05,0.1050583333,0.1050583333
0.010957856,-1.36571499e-05,0.2251249999,0.2251249999
0.0109578566,-1.36571499e-05,0.3281825664,0.3281825664
0.0109578569,-1.3657149799999999e-05,0.3861511835,0.3861511835
0.010957857199999999,-1.3657149799999999e-05,0.4474270385,0.4474270385
0.0109578575,-1.3657149799999999e-05,0.4970678038,0.4970678038
0.0109578578,-1.3657150299999998e-05,0.5551801537000001,0.5551801537000001
0.010957858099999999,-1.36572044e-05,0.5995306604,0.5995306604
0.0109578582,-1.36572812e-05,0.6171698109,0.6171698109
0.0109578583,-1.36574418e-05,0.6411866347,0.6411866347
0.0109578583,-1.3657487599999998e-05,0.6477361229,0.6477361229
0.0109578584,-1.36575795e-05,0.6608350991,0.6608350991
0.0109578586,-1.3657762899999999e-05,0.6867804447,0.6867804447
0.010957858800000001,-1.3658032199999998e-05,0.724653653,0.724653653
0.0109578592,-1.3658595999999999e-05,0.8004000697,0.8004000697
0.0109578599,-1.3660653399999999e-05,0.9259223201,0.9259223201
0.0109578604,-1.36638696e-05,1.0208356,1.0208356
0.0109578611,-1.3668969499999999e-05,1.1384436,1.1384436
0.0109578617,-1.3673778199999999e-05,1.2480633,1.2480633
0.010957862300000001,-1.3678456799999999e-05,1.3547394,1.3547394
0.0109578635,-1.3687826599999999e-05,1.5680914,1.5680914
0.0109578641,-1.36929181e-05,1.6840457,1.6840457
0.0109578648,-1.36980086e-05,1.8,1.8
0.0109578648,-1.36986674e-05,1.8,1.8
0.010957865,-1.3699986000000001e-05,1.8,1.8
0.0109578653,-1.3701963499999999e-05,1.8,1.8
0.010957865800000001,-1.3705916099999999e-05,1.8,1.8
0.0109578668,-1.3713806399999999e-05,1.8,1.8
0.0109578688,-1.37295241e-05,1.8,1.8
0.0109578728,-1.3760711099999999e-05,1.8,1.8
0.0109578808,-1.38221103e-05,1.8,1.8
0.0109578968,-1.39411552e-05,1.8,1.8
0.010957928799999999,-1.4165292e-05,1.8,1.8
0.0109579928,-1.45649393e-05,1.8,1.8
0.0109581208,-1.5212439299999998e-05,1.8,1.8
0.0109583768,-1.6109103499999998e-05,1.8,1.8
0.0109587045,-1.6793588e-05,1.8,1.8
0.010959129100000001,-1.7296733199999997e-05,1.8,1.8
0.010959673900000001,-1.76283253e-05,1.8,1.8
0.0109604366,-1.7843024199999997e-05,1.8,1.8
0.010961491,-1.79442756e-05,1.8,1.8
0.0109629995,-1.79793859e-05,1.8,1.8
0.010965274700000001,-1.7985231299999998e-05,1.8,1.8
0.0109678548,-1.79906854e-05,1.8,1.8
0.0109678548,-1.7988511e-05,1.7849916,1.7849916
0.010967855,-1.79885117e-05,1.754975,1.754975
0.0109678553,-1.79885133e-05,1.6949416,1.6949416
0.010967856,-1.7988515899999998e-05,1.574875,1.574875
0.0109678573,-1.7988513999999997e-05,1.3347416,1.3347416
0.01096786,-1.7988427699999997e-05,0.8544750004,0.8544750004
0.0109678607,-1.79883699e-05,0.7344083338,0.7344083338
0.010967862,-1.79876195e-05,0.4942750006,0.4942750006
0.010967863500000001,-1.79854154e-05,0.2297933503,0.2297933503
0.0109678641,-1.79840965e-05,0.1148966753,0.1148966753
0.010967864400000001,-1.7983405399999998e-05,0.0574483376,0.0574483376
0.0109678648,-1.79827036e-05,0.0,0.0
0.0109678648,-1.79825181e-05,0.0,0.0
0.010967865,-1.79822183e-05,0.0,0.0
0.0109678651,-1.7981829e-05,0.0,0.0
0.0109678655,-1.7981041799999998e-05,0.0,0.0
0.010967866199999999,-1.7979444399999996e-05,0.0,0.0
0.0109678676,-1.7976198199999997e-05,0.0,0.0
0.0109678694,-1.79717303e-05,0.0,0.0
0.010967872,-1.79655655e-05,0.0,0.0
0.0109678756,-1.79570718e-05,0.0,0.0
0.0109678808,-1.79446142e-05,0.0,0.0
0.0109678883,-1.79265182e-05,0.0,0.0
0.010967899100000001,-1.7900690699999997e-05,0.0,0.0
0.010967914499999998,-1.78639276e-05,0.0,0.0
0.0109679366,-1.78113405e-05,0.0,0.0
0.0109679685,-1.7736291699999998e-05,0.0,0.0
0.0109680144,-1.7629384300000002e-05,0.0,0.0
0.0109680805,-1.74780047e-05,0.0,0.0
0.010968176,-1.72653635e-05,0.0,0.0
0.0109683138,-1.69704898e-05,0.0,0.0
0.0109685128,-1.65702537e-05,0.0,0.0
0.0109688005,-1.60468212e-05,0.0,0.0
0.0109692162,-1.5406632699999998e-05,0.0,0.0
0.010969817100000001,-1.4714102099999999e-05,0.0,0.0
0.010970686,-1.41147075e-05,0.0,0.0
0.010971942600000001,-1.3754963099999998e-05,0.0,0.0
0.010973706,-1.36680539e-05,0.0,0.0
0.0109756499,-1.3657227199999999e-05,0.0,0.0
0.0109781483,-1.36559241e-05,0.0,0.0
0.0109824932,-1.3656647799999999e-05,0.0,0.0
0.0109888543,-1.36579595e-05,0.0,0.0
0.0109981102,-1.3655948199999999e-05,0.0,0.0
0.011011469999999999,-1.36584728e-05,0.0,0.0
0.011030614099999999,-1.36557364e-05,0.0,0.0
0.0110588877,-1.3658598799999999e-05,0.0,0.0
0.0111009729,-1.36556656e-05,0.0,0.0
0.0111671064,-1.36586426e-05,0.0,0.0
0.0112993732,-1.36556368e-05,0.0,0.0
0.011563907,-1.36586486e-05,0.0,0.0
0.0120067325,-1.3655638199999999e-05,0.0,0.0
0.012892383600000001,-1.3658650099999998e-05,0.0,0.0
0.014649715300000001,-1.3655633599999998e-05,0.0,0.0
0.0146497154,-1.3657402799999999e-05,0.015008333300000001,0.015008333300000001
0.0146497155,-1.3657402699999999e-05,0.0450249999,0.0450249999
0.0146497159,-1.3657402599999999e-05,0.1050583333,0.1050583333
0.0146497165,-1.36574025e-05,0.2251249999,0.2251249999
0.014649717100000001,-1.36574023e-05,0.3281824487,0.3281824487
0.0146497174,-1.36574022e-05,0.38615108670000003,0.38615108670000003
0.0146497178,-1.36574021e-05,0.4474268946,0.4474268946
0.0146497181,-1.3657402e-05,0.4970676349,0.4970676349
0.0146497184,-1.36574024e-05,0.5551799829,0.5551799829
0.0146497186,-1.3657456399999999e-05,0.5995304565,0.5995304565
0.0146497187,-1.36575332e-05,0.6171697616,0.6171697616
0.0146497189,-1.3657693699999998e-05,0.6411865795,0.6411865795
0.0146497189,-1.36577396e-05,0.6477359749,0.6477359749
0.014649719,-1.3657831399999998e-05,0.6608347657000001,0.6608347657000001
0.0146497191,-1.36580148e-05,0.6867795051000001,0.6867795051000001
0.014649719299999999,-1.3658283999999999e-05,0.7246516406,0.7246516406
0.014649719700000001,-1.36588477e-05,0.8003959114000001,0.8003959114000001
0.0146497204,-1.3660904699999999e-05,0.9259217012000001,0.9259217012000001
0.014649721,-1.36641206e-05,1.0208374,1.0208374
0.0146497216,-1.36692199e-05,1.1384413,1.1384413
0.0146497222,-1.36740285e-05,1.2480674,1.2480674
0.014649722799999999,-1.36787066e-05,1.3547398,1.3547398
0.014649724000000001,-1.36880752e-05,1.5680847,1.5680847
0.0146497247,-1.36931664e-05,1.6840423,1.6840423
0.014649725300000001,-1.36982567e-05,1.8,1.8
0.014649725399999999,-1.36989154e-05,1.8,1.8
0.0146497255,-1.37002339e-05,1.8,1.8
0.0146497258,-1.3702211299999999e-05,1.8,1.8
0.014649726299999999,-1.37061637e-05,1.8,1.8
0.0146497273,-1.37140534e-05,1.8,1.8
0.0146497293,-1.372977e-05,1.8,1.8
0.0146497333,-1.37609549e-05,1.8,1.8
0.014649741300000001,-1.382235e-05,1.8,1.8
0.0146497573,-1.39413869e-05,1.8,1.8
0.0146497893,-1.41655091e-05,1.8,1.8
0.0146498533,-1.4565130999999999e-05,1.8,1.8
0.0146499813,-1.5212591899999999e-05,1.8,1.8
0.0146502374,-1.6109206e-05,1.8,1.8
0.0146505651,-1.67936758e-05,1.8,1.8
0.0146509897,-1.72967995e-05,1.8,1.8
0.0146515345,-1.76283704e-05,1.8,1.8
0.014652297199999999,-1.7843048499999998e-05,1.8,1.8
0.014653351700000001,-1.79442852e-05,1.8,1.8
0.0146548603,-1.79793884e-05,1.8,1.8
0.014657135600000001,-1.7985231699999998e-05,1.8,1.8
0.0146597153,-1.79906857e-05,1.8,1.8
0.0146597154,-1.79885114e-05,1.7849916,1.7849916
0.014659715500000002,-1.79885121e-05,1.754975,1.754975
0.0146597159,-1.79885137e-05,1.6949416,1.6949416
0.014659716500000001,-1.79885163e-05,1.574875,1.574875
0.0146597179,-1.79885144e-05,1.3347416,1.3347416
0.0146597205,-1.79884281e-05,0.8544750004,0.8544750004
0.0146597212,-1.7988370299999998e-05,0.7344083338,0.7344083338
0.014659722600000001,-1.7987619899999997e-05,0.4942750006,0.4942750006
0.014659724,-1.7985415799999996e-05,0.2297933512,0.2297933512
0.0146597247,-1.79840969e-05,0.1148966756,0.1148966756
0.014659725,-1.7983405799999998e-05,0.0574483376,0.0574483376
0.0146597253,-1.7982703999999997e-05,0.0,0.0
