
time (s)       i("/I56/Iout"  v("/vpre" ?res v("/vpre1" ?re

0                -13.6571498u 0              0              
1m               -13.6571499u 0              0              
3m               -13.6571499u 0              0              
7m               -13.6571499u 0              0              
15m              -13.6571499u 0              0              
31m              -13.6571499u 0              0              
51m              -13.6571499u 0              0              
71m              -13.6571499u 0              0              
91m              -13.6571499u 0              0              
111m             -13.6571499u 0              0              
131m             -13.6571499u 0              0              
151m             -13.6571499u 0              0              
171m             -13.6571499u 0              0              
191m             -13.6571499u 0              0              
211m             -13.6571499u 0              0              
231m             -13.6571499u 0              0              
251m             -13.6571499u 0              0              
271m             -13.6571499u 0              0              
291m             -13.6571499u 0              0              
311m             -13.6571499u 0              0              
331m             -13.6571499u 0              0              
351m             -13.6571499u 0              0              
371m             -13.6571499u 0              0              
391m             -13.6571499u 0              0              
411m             -13.6571499u 0              0              
431m             -13.6571499u 0              0              
451m             -13.6571499u 0              0              
471m             -13.6571499u 0              0              
491m             -13.6571499u 0              0              
500m             -13.6571499u 0              0              
518m             -13.6571499u 0              0              
538m             -13.6571499u 0              0              
558m             -13.6571499u 0              0              
578m             -13.6571499u 0              0              
598m             -13.6571499u 0              0              
618m             -13.6571499u 0              0              
638m             -13.6571499u 0              0              
658m             -13.6571499u 0              0              
678m             -13.6571499u 0              0              
698m             -13.6571499u 0              0              
718m             -13.6571499u 0              0              
738m             -13.6571499u 0              0              
758m             -13.6571499u 0              0              
778m             -13.6571499u 0              0              
798m             -13.6571499u 0              0              
818m             -13.6571499u 0              0              
838m             -13.6571499u 0              0              
858m             -13.6571499u 0              0              
878m             -13.6571499u 0              0              
898m             -13.6571499u 0              0              
918m             -13.6571499u 0              0              
938m             -13.6571499u 0              0              
958m             -13.6571499u 0              0              
978m             -13.6571499u 0              0              
989m             -13.6571499u 0              0              
1                -13.6571499u 0              0              
