
time (s)       i("/I56/Iout"  v("/vpre" ?res v("/vpre1" ?re

    0            -16.8508479u 0              0              
  500u           -16.8508478u 0              0              
    1.5m         -16.8508479u 0              0              
    3.5m         -16.8508479u 0              0              
    7.5m         -16.8508479u 0              0              
   15.5m         -16.8508479u 0              0              
   25.5m         -16.8508479u 0              0              
   35.5m         -16.8508479u 0              0              
   45.5m         -16.8508479u 0              0              
   55.5m         -16.8508479u 0              0              
   65.5m         -16.8508479u 0              0              
   75.5m         -16.8508479u 0              0              
   85.5m         -16.8508479u 0              0              
   95.5m         -16.8508479u 0              0              
  105.5m         -16.8508479u 0              0              
  115.5m         -16.8508479u 0              0              
  125.5m         -16.8508479u 0              0              
  135.5m         -16.8508479u 0              0              
  145.5m         -16.8508479u 0              0              
  155.5m         -16.8508479u 0              0              
  165.5m         -16.8508479u 0              0              
  175.5m         -16.8508479u 0              0              
  185.5m         -16.8508479u 0              0              
  195.5m         -16.8508479u 0              0              
  205.5m         -16.8508479u 0              0              
  215.5m         -16.8508479u 0              0              
  225.5m         -16.8508479u 0              0              
  235.5m         -16.8508479u 0              0              
  245.5m         -16.8508479u 0              0              
  255.5m         -16.8508479u 0              0              
  265.5m         -16.8508479u 0              0              
  275.5m         -16.8508479u 0              0              
  285.5m         -16.8508479u 0              0              
  295.5m         -16.8508479u 0              0              
  305.5m         -16.8508479u 0              0              
  315.5m         -16.8508479u 0              0              
  325.5m         -16.8508479u 0              0              
  335.5m         -16.8508479u 0              0              
  345.5m         -16.8508479u 0              0              
  355.5m         -16.8508479u 0              0              
  365.5m         -16.8508479u 0              0              
  375.5m         -16.8508479u 0              0              
  385.5m         -16.8508479u 0              0              
  395.5m         -16.8508479u 0              0              
  405.5m         -16.8508479u 0              0              
  415.5m         -16.8508479u 0              0              
  425.5m         -16.8508479u 0              0              
  435.5m         -16.8508479u 0              0              
  445.5m         -16.8508479u 0              0              
  455.5m         -16.8508479u 0              0              
  465.5m         -16.8508479u 0              0              
  475.5m         -16.8508479u 0              0              
  485.5m         -16.8508479u 0              0              
  492.75m        -16.8508479u 0              0              
  500m           -16.8508479u 0              0              
