run_name,st1_frequency_hz,st2_frequency_hz,st3_frequency_hz,mean_overlap_count,std_overlap_count,min_overlap_count,max_overlap_count,valid_trial_count,trial_indices_used,trial_overlap_counts,high_threshold_v,fixed_st_4_frequency_name,fixed_st_4_frequency_hz
st1_1_hz__st2_1_hz__st3_1_hz,1,1,1,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_31_hz,1,1,31,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_61_hz,1,1,61,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_91_hz,1,1,91,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_121_hz,1,1,121,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_151_hz,1,1,151,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_181_hz,1,1,181,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_211_hz,1,1,211,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_241_hz,1,1,241,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_271_hz,1,1,271,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_301_hz,1,1,301,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_331_hz,1,1,331,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_361_hz,1,1,361,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_391_hz,1,1,391,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_421_hz,1,1,421,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_451_hz,1,1,451,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_481_hz,1,1,481,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_511_hz,1,1,511,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_541_hz,1,1,541,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_1_hz__st3_571_hz,1,1,571,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_1_hz,1,31,1,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_31_hz,1,31,31,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_61_hz,1,31,61,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_91_hz,1,31,91,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_121_hz,1,31,121,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_151_hz,1,31,151,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_181_hz,1,31,181,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_211_hz,1,31,211,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_241_hz,1,31,241,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_271_hz,1,31,271,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_301_hz,1,31,301,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_331_hz,1,31,331,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_361_hz,1,31,361,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_391_hz,1,31,391,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_421_hz,1,31,421,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_451_hz,1,31,451,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_481_hz,1,31,481,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_511_hz,1,31,511,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_541_hz,1,31,541,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_31_hz__st3_571_hz,1,31,571,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_1_hz,1,61,1,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_31_hz,1,61,31,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_61_hz,1,61,61,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_91_hz,1,61,91,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_121_hz,1,61,121,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_151_hz,1,61,151,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_181_hz,1,61,181,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_211_hz,1,61,211,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_241_hz,1,61,241,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_271_hz,1,61,271,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_301_hz,1,61,301,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_331_hz,1,61,331,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_361_hz,1,61,361,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_391_hz,1,61,391,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_421_hz,1,61,421,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_451_hz,1,61,451,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_481_hz,1,61,481,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_511_hz,1,61,511,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_541_hz,1,61,541,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_61_hz__st3_571_hz,1,61,571,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_1_hz,1,91,1,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_31_hz,1,91,31,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_61_hz,1,91,61,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_91_hz,1,91,91,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_121_hz,1,91,121,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_151_hz,1,91,151,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_181_hz,1,91,181,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_211_hz,1,91,211,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_241_hz,1,91,241,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
